k,C_measured,C_HL_prediction
176,0.613928,0.599873
177,1.214943,1.193832
178,0.949554,0.936107
179,0.416112,0.409327
180,1.860175,1.817689
181,0.437613,0.433858
182,1.662678,1.635326
183,0.963874,0.946045
184,0.667351,0.657474
185,1.290976,1.276815
186,0.497706,0.486666
187,1.603736,1.575745
188,0.856026,0.839800
189,0.679668,0.673746
190,1.377812,1.354166
191,0.715788,0.697509
192,0.849527,0.836996
193,0.913605,0.898420
194,0.646979,0.638363
195,1.508866,1.481427
196,0.748221,0.732952
197,0.852531,0.841312
198,1.492180,1.467893
199,0.481319,0.472183
200,1.219248,1.194640
201,0.580067,0.563782
202,0.945377,0.927395
203,1.583257,1.550758
204,0.530523,0.521509
205,1.949590,1.918693
206,0.415920,0.406218
207,0.929011,0.912771
208,1.334490,1.308754
209,0.589358,0.583975
210,2.250822,2.205319
211,0.413214,0.407355
212,1.261739,1.233890
213,0.991470,0.971604
214,0.410848,0.405856
215,2.053005,2.018035
216,0.469151,0.462543
217,1.619995,1.588741
218,0.834290,0.816505
219,0.583179,0.572234
220,1.554831,1.535495
221,0.567623,0.568521
222,1.338986,1.310753
223,0.831840,0.818716
224,0.779482,0.770375
225,1.344249,1.326907
226,0.556094,0.545487
227,1.041931,1.022206
228,0.919486,0.907694
229,0.560612,0.547567
230,1.526979,1.494203
231,0.871987,0.857984
232,0.977171,0.955180
233,1.091753,1.070685
234,0.547933,0.533859
235,1.443168,1.428103
236,0.563979,0.554856
237,0.845180,0.836821
238,2.162941,2.115955
239,0.409101,0.403679
240,1.632099,1.605800
241,0.434971,0.429324
242,1.082355,1.062840
243,1.216754,1.192985
244,0.463291,0.454373
245,2.135686,2.094599
246,0.492251,0.486345
247,1.570237,1.541257
248,0.865381,0.859599
249,0.515286,0.502192
250,1.635764,1.605080
251,0.484792,0.473083
252,1.359337,1.333703
253,1.226898,1.206383
254,0.551619,0.543617
255,1.413207,1.384808
256,0.457495,0.449583
257,1.251659,1.225552
258,0.871284,0.866498
259,0.726848,0.710942
260,1.878544,1.849131
261,0.662727,0.647863
262,0.830945,0.812567
263,0.834908,0.814755
264,0.791629,0.776282
265,1.272841,1.248763
266,0.844242,0.827146
267,0.829112,0.814484
268,1.351410,1.332657
269,0.471964,0.465512
270,1.208699,1.193598
271,0.658316,0.652874
272,1.026226,1.008288
273,1.702911,1.664721
274,0.408888,0.403834
275,2.141674,2.099202
276,0.444560,0.439723
277,0.912369,0.899663
278,1.191247,1.163740
279,0.530565,0.520907
280,2.107686,2.066250
281,0.409016,0.402640
282,1.436222,1.406442
283,0.891421,0.878517
284,0.453744,0.443799
285,1.881954,1.848530
286,0.631935,0.625131
287,1.451458,1.433549
288,0.812150,0.799387
289,0.644955,0.634676
290,1.710966,1.680915
291,0.468618,0.459539
292,1.101960,1.090272
293,0.930695,0.915533
294,0.679796,0.662975
295,1.500939,1.479869
296,0.572332,0.566449
297,1.050327,1.037271
298,0.896110,0.883337
299,0.733241,0.716455
300,1.440782,1.411130
301,0.839405,0.823697
302,0.825127,0.810002
303,1.223701,1.205570
304,0.531311,0.521136
305,1.259246,1.240628
306,0.629101,0.616066
307,0.863506,0.842893
308,2.000882,1.976239
309,0.425211,0.422012
310,1.849116,1.820757
311,0.407865,0.402077
312,1.218033,1.195313
313,1.126338,1.107271
314,0.441150,0.435132
315,2.409237,2.368331
316,0.467809,0.459786
317,1.247781,1.223511
318,0.845265,0.831452
319,0.564938,0.554607
320,1.683647,1.658697
321,0.473605,0.465118
322,1.494290,1.471454
323,1.218140,1.199036
324,0.539217,0.533645
325,1.509143,1.483824
